Date,Forecast,Lower_CI,Upper_CI
2008-07-01,25.178305005556425,23.415867385764162,26.940742625348687
2008-08-01,23.46220939949808,21.694976567709205,25.229442231286953
2008-09-01,24.38065421427885,22.483441626844293,26.277866801713404
2008-10-01,26.25682221495883,24.273083382240483,28.24056104767718
2008-11-01,26.66977267640618,24.68489831222593,28.65464704058643
2008-12-01,28.52002021459062,26.443644699336915,30.596395729844325
2009-01-01,31.493805458194217,29.397498840891018,33.590112075497416
2009-02-01,22.432401855352893,20.300452771777266,24.56435093892852
2009-03-01,22.275403729906177,20.082953843661194,24.46785361615116
2009-04-01,23.383560152165916,21.16596867736894,25.601151626962892
2009-05-01,25.2827719236102,23.015373454944086,27.55017039227631
2009-06-01,23.144842960330124,20.840235861953,25.449450058707246
