Date,Forecast,Lower_CI,Upper_CI
2008-07-01,25.178306420883203,23.41586894013642,26.940743901629986
2008-08-01,23.462204877777094,21.694972162008114,25.229437593546074
2008-09-01,24.38065571175015,22.483442949445703,26.2778684740546
2008-10-01,26.25682098497872,24.273081893247838,28.240560076709603
2008-11-01,26.669768513321547,24.68489388091392,28.654643145729175
2008-12-01,28.520020861293208,26.443644583023676,30.59639713956274
2009-01-01,31.49380091483745,29.39749344458034,33.59010838509456
2009-02-01,22.432399858455042,20.300449650628533,24.564350066281552
2009-03-01,22.275402483822923,20.082951144225166,24.46785382342068
2009-04-01,23.383556433275707,21.16596340262666,25.601149463924756
2009-05-01,25.282771154624,23.01537084000956,27.550171469238443
2009-06-01,23.144840428090788,20.840231349110255,25.44944950707132
